gene,log2FC,adj_pvalue,regulation,ensemble_score,composite_score,ml_rank,consensus_tier,ai_annotation,annotation_model,annotation_verified
ZNF223,-2.923322367006019,7.745036015091236e-12,Downregulated,0.6775957885618588,0.6618752609712821,1,FDR-controlled,"We need to provide a brief annotation (2-3 sentences) for gene ZNF223 in context of colorectal adenoma & carcinoma. Provide: what protein it encodes and its main function; its known role in CRC; whether observed downregulation (log2FC -2.92) is consistent with literature.

We must be precise, only well-established facts. If uncertain, say so.

We need to recall knowledge about ZNF223. ZNF223 is a zinc finger protein, also known as ZNF223 (Zinc finger protein 223). It is a transcription factor, part of the Krüppel-associated box (KRAB) zinc finger family. It may act as a transcriptional repressor. In cancer, I recall some literature: ZNF223 is downregulated in colorectal cancer and may act as a tumor suppressor. Let’s think: I recall a study: ""ZNF223 suppresses colorectal cancer proliferation via regulating the",nvidia/nemotron-3-super-120b-a12b:free,False
DEFB130,-4.009281343373804,5.346457663326095e-17,Downregulated,0.41820697943121854,0.6509241876587311,4,FDR-controlled,"We need to answer with 2-3 sentences. Provide protein encoded: DEFB130 is a defensin beta 130, antimicrobial peptide. Function: antimicrobial activity, innate immunity. Role in CRC: limited literature; some defensins downregulated in colorectal cancer, but DEFB130 specifically? I'm not sure. I recall DEFB1 (human beta-defensin 1) is downregulated in CRC. DEFB130 maybe less studied. I think there is limited data; uncertain. So we should say uncertain about known role. Provide that downregulation is consistent with some defensins being downregulated, but specific data lacking. Must be precise, say uncertain if not well-established.

Thus: DEFB130 encodes beta-defensin 130, a small cationic antimicrobial peptide involved in innate immunity. In colorectal neoplasia, defensin family members are often reduced, but direct reports on DEFB130 in adenoma/carcinoma are scarce/not well",nvidia/nemotron-3-super-120b-a12b:free,False
FAM47E-STBD1,-2.515502680029824,2.5432436501968276e-14,Downregulated,0.6720523239873161,0.6393627542218523,2,FDR-controlled,"We need to answer with 2-3 sentences. Provide annotation: gene FAM47E-STBD1. Need to know what protein it encodes and its main function. FAM47E-STBD1 is a fusion gene? Actually FAM47E and STBD1 are separate genes; but there is a read-through transcript FAM47E-STBD1? I recall that FAM47E (Family with sequence similarity 47 member E) encodes a protein of unknown function, possibly a transmembrane protein. STBD1 (Starch Binding Domain 1) encodes a protein involved in glycogen metabolism, binds glycogen. The fusion may be a read-through transcript. However, I'm not sure about well-established facts. I need to be precise; if uncertain, say uncertain.

Let's think: FAM47E is also known as C14orf166? Actually FAM47E is located on chromosome 1",nvidia/nemotron-3-super-120b-a12b:free,False
CCDC177,-3.569716855371161,1.2107406620082289e-22,Downregulated,0.3435784074745032,0.5976425782220744,7,FDR-controlled,"We need to answer with 2-3 sentences, precise, only well-established facts. Need to know about CCDC177. I recall CCDC177 is a coiled-coil domain containing protein 177, also known as C17orf59? Actually CCDC177 is a gene encoding a protein of unknown function, maybe involved in cilia? Let’s think: CCDC177 (Coiled-coil domain containing 177) is also known as ""Cilia and Flagella Associated Protein 256""? Not sure. I recall CCDC177 is associated with primary cilia and maybe involved in Hedgehog signaling. In cancer, I'm not sure about CRC. I think CCDC177 may be downregulated in colorectal cancer, acting as tumor suppressor? Need to verify. I recall some studies: CCDC177 is downregulated in gastric cancer and associated with poor prognosis. In colorectal",nvidia/nemotron-3-super-120b-a12b:free,False
MDGA2,-2.7515262857800153,1.2831011752316615e-17,Downregulated,0.4313012009623123,0.5366934000181532,3,FDR-controlled,"We need to provide a brief annotation for MDGA2 in CRC. Must be 2-3 sentences. Must state protein encoded, main function, known role in CRC, and whether observed downregulation is consistent with literature. Must be precise, only well-established facts. If uncertain, say so.

We need to know about MDGA2: MAM domain containing glycosylphosphatidylinositol anchor 2. It's a cell adhesion molecule, part of immunoglobulin superfamily, involved in neuronal development, axon guidance, synaptogenesis. In cancer, MDGA2 often acts as tumor suppressor, downregulated in various cancers including colorectal cancer. I recall some studies: MDGA2 is downregulated in colorectal cancer and associated with poor prognosis. It may inhibit Wnt/β-catenin signaling? Not sure. Let’s recall: MDGA2 (MAM domain containing glycosylphosphatidylinositol anchor 2) is a transmembrane protein that can modulate cell adhesion and signaling. In glioma, MDGA2",nvidia/nemotron-3-super-120b-a12b:free,False
GOLGA7B,-2.960552799644379,1.2768335606837975e-15,Downregulated,0.405440882056949,0.5300141686582066,5,FDR-controlled,"We need to answer with 2-3 sentences, providing annotation for GOLGA7B in CRC. Must be precise, well-established facts. Need to check knowledge: GOLGA7B is a Golgi protein, part of the golgin family, involved in Golgi structure and trafficking. In CRC, literature? I recall some studies: GOLGA7B may be downregulated in colorectal cancer, associated with tumor suppressor? Not sure. I need to be careful: If uncertain, say uncertain. Let's think: GOLGA7B (Golgi autoantigen, golgin subfamily a, 7B). It encodes a golgin protein that localizes to the Golgi apparatus and is involved in maintaining Golgi integrity and vesicle trafficking. In CRC, some expression analyses show downregulation in tumor vs normal, and low expression correlates with poor prognosis? I recall a paper: ""Integrative analysis of GOLGA7B in pan-cancer"" maybe shows downregulation in several cancers including colorectal",nvidia/nemotron-3-super-120b-a12b:free,False
KLK9,-3.440494991145886,7.256134614958551e-19,Downregulated,0.13412188185950558,0.43609456246093314,40,FDR-controlled,"We need to answer with 2-3 sentences. Provide protein encoded: KLK9 encodes kallikrein-related peptidase 9, a serine protease secreted, involved in extracellular matrix remodeling, etc. Known role in CRC: literature suggests KLK9 is downregulated in colorectal cancer, acts as tumor suppressor, associated with better prognosis. The observed downregulation (log2FC -3.44) is consistent with literature. Need to be precise, cite only well-established facts. If uncertain, say uncertain. I think it's established that KLK9 is downregulated in CRC. Provide answer in 2-3 sentences.

Let's craft: ""KLK9 encodes kallikrein‑related peptidase 9, a secreted serine protease that degrades extracellular matrix proteins and regulates signaling pathways. In colorectal adenoma and carcinoma, KLK9 expression is frequently reduced, and low KLK9 levels correlate with advanced tumor stage and poorer survival, supporting a tumor‑suppressor role. Therefore",nvidia/nemotron-3-super-120b-a12b:free,False
TLR9,-2.3434118793557888,6.81857294659369e-11,Downregulated,0.3746796617670718,0.4228129485956983,6,FDR-controlled,"We need to answer in 2-3 sentences, concise. Provide protein encoded: Toll-like receptor 9, a pattern recognition receptor that senses unmethylated CpG DNA, activates innate immunity, NF-κB signaling. Known role in CRC: TLR9 expression often downregulated in tumor tissue, associated with poorer prognosis; some studies show TLR9 activation can inhibit tumor growth or promote inflammation; but overall literature indicates TLR9 is frequently downregulated in colorectal adenoma/carcinoma. So observed downregulation is consistent.

We must be precise, cite only well-established facts. No need to give citations but mention that literature shows downregulation. Provide 2-3 sentences.

Let's craft: ""TLR9 encodes Toll‑like receptor 9, an endosomal pattern‑recognition receptor that detects unmethylated CpG DNA and triggers MyD88‑dependent NF‑κB and interferon responses. In colorectal adenoma and carcinoma, TLR9 mRNA and protein levels are frequently reduced compared with normal mucosa",nvidia/nemotron-3-super-120b-a12b:free,False
LIMS3,-3.513311194588713,7.904967469092888e-16,Downregulated,0.13383623867316868,0.4221911793008493,41,FDR-controlled,"We need to answer with 2-3 sentences, providing annotation for LIMS3 in CRC. Must be precise, well-established facts. If uncertain, say so.

We need to know: LIMS3 (LIM and senescent cell antigen-like domains 3) encodes a protein also known as LIM and SH3 domain protein 1 (LASP1)? Actually LIMS3 is also called LIM and senescent cell antigen-like domains 3, also known as LASP1? Wait: LASP1 is LIM and SH3 domain protein 1, encoded by LASP1 gene. LIMS3 is a different gene: LIM and senescent cell antigen-like domains 3, also known as LIM and SH3 domain protein 3? Let’s recall: LIMS3 encodes a protein that is a focal adhesion protein, involved in actin cytoskeleton organization, cell migration, and signaling. It contains LIM domains and is implicated in tumor suppression or oncogenic",nvidia/nemotron-3-super-120b-a12b:free,False
SOX7,-2.960020726317379,2.3088650044525853e-20,Downregulated,0.11496761413677459,0.38274597395755516,46,FDR-controlled,"SOX7 encodes a SRY‑box transcription factor (SOX‑family group F) that regulates cell‑type‑specific gene expression, promotes differentiation, and antagonizes Wnt/β‑catenin signaling. In",nvidia/nemotron-3-super-120b-a12b:free,False
